identifier_value,name,total_score,Clinical_trials_score,Digital_activator_score,Publications_score,Sponsorship_score,Societies_score
FR0001149,Eric Hachulla,100,99.79025438,8.955223881,100,0.535210959,100
FR0000418,Zahir Amoura,88.91364284,26.71655816,78.17164179,76.18882316,0.582370941,93.33333333
FR0004638,Laure Gossec,82.47708569,26.32223639,86.38059701,44.38771328,31.32848573,66.66666667
FR0000508,Laurent Arnaud,81.74909218,15.28626082,99.62686567,37.71352532,20.20750392,80
FR0001919,Benjamin Terrier,81.43564965,40.26948117,99.81343284,65.11515783,0,46.66666667
FR0004480,Jean Sibilia,80.26730959,37.7441439,81.34328358,65.30222602,37.19496814,26.66666667
FR0003319,Xavier Mariette,77.75747201,43.8888516,88.05970149,74.05537797,1.151580956,33.33333333
FR0001772,Christophe Richez,77.08738569,63.69051614,97.57462687,33.99000053,9.827920903,33.33333333
FR0002717,Marie Beylot Barry,76.02292332,61.64339889,77.05223881,47.82726085,1.934656006,46.66666667
FR0004156,Luc Mouthon,71.35246959,46.33868045,75,72.67406261,0,26.66666667
FR0003520,Laurent Chiche,70.50086514,13.71232969,82.2761194,52.67030196,22.72014389,46.66666667
FR0003962,Odile Launay,68.45982822,100,37.12686567,38.8156848,9.123811404,26.66666667
FR0003893,Celeste Lebbe,66.06241754,80.3208269,58.02238806,52.70887272,13.26621261,0
FR0003651,Nassim Kamar,64.28144959,34.28585811,90.1119403,64.02505171,10.38726022,0
FR0003595,Sophie Georgin Lavialle,63.03655276,14.49929525,98.50746269,35.28646022,0,46.66666667
FR0001206,Pascal Joly,60.49293374,32.78072354,0,63.34765273,17.63125281,73.33333333
FR0001690,Carle Paul,58.3215576,59.20363783,77.42537313,23.23261544,20.51568892,0
FR0003109,Olivier Chosidow,58.16690842,37.27263575,0,62.62637951,0,80
FR0003963,David Launay,58.02923111,25.37250822,90.48507463,50.28228975,0,13.33333333
FR0001776,Lionel Rostaing,57.26253514,38.22404188,63.99253731,54.85774621,20.02763794,0
FR0000739,Bernard Combe,57.07828492,10.0862474,39.55223881,32.47802672,14.41560008,80
FR0002959,Fabrice Bonnet,57.03521808,48.70796698,62.31343284,64.94978569,0.427730069,0
FR0000351,Francois Chasset,56.8627768,4.807369622,91.60447761,25.99428188,0.126125533,53.33333333
FR0003565,Cecile Goujard,56.84145248,39.0949057,65.48507463,31.21965566,0,40
FR0004415,Jeremie Sellam,56.27230072,34.59795959,97.94776119,33.22967441,8.26396429,0
FR0002190,Antoine Bertolotti,56.00992974,5.752063897,68.09701493,6.045484569,0,93.33333333
FR0003696,Laurence Bouillet,55.70999513,65.11343043,45.14925373,36.21890835,12.48533105,13.33333333
FR0000268,Gilbert Deray,55.25198291,7.094435868,100,38.48301199,25.3062657,0
FR0001822,Julien Seneschal,53.9506785,55.02214914,66.97761194,24.6418946,20.21737461,0
FR0004633,Bruno Vellas,53.86725774,32.93509632,91.23134328,42.4345864,0,0
FR0003790,Sebastien Czernichow,53.84601386,69.54157997,71.08208955,22.93947766,2.972175611,0
FR0004652,Daniel Wendling,52.8747966,30.10436942,64.55223881,64.87071563,4.004211496,0
FR0003283,Laurent Misery,52.13196488,71.73635814,0,59.40089966,30.09684247,0
FR0004107,Olivier Moranne,51.88456272,42.79649641,92.91044776,23.29673932,1.465249674,0
FR0003541,Bertrand Godeau,50.92352351,7.248808645,76.86567164,44.54392486,2.17155266,26.66666667
FR0003249,Alexis Mathian,50.85032534,9.378146184,81.71641791,37.14991008,2.359095844,26.66666667
FR0003726,Saskia Oro,50.53067256,16.16048057,27.42537313,39.36242533,0,73.33333333
