PARENT_TAG,TAGS_LEVEL_1,TAGS_LEVEL_2,TAGS_LEVEL_3,TAGS_LEVEL_4,TAGS_LEVEL_5,TAGS_LEVEL_6,SYNONYMS,REGEXES,SCORES,CRM_COLUMN,URL,WEIGHT,VISIBLE
Custom Topics,,,,,,,,,,,,1,1
,Key Search Terms,,,,,,,,,,,1,1
,,Systemic Lupus Erythematosus,,,,,,,,,,1,1
,,,Systemic lupus erythematosus,,,,SLE,Systemic lupus erythematosus / \bSLE\b,SLE Score,,,1,1
,,,Systemic Lupus,,,,,Systemic Lupus,SLE Score,,,1,1
,,,Lupus,,,,,Lupus,SLE Score,,,1,1
,,,Autoimmune,,,,Autoimmune disease,Autoimmune / Autoimmune disease,,,,1,1
,,,Systemic disease,,,,,Systemic disease,SLE Score,,,1,1
,,,Chronic disease,,,,,Chronic disease,,,,1,1
,Companies / Brands,,,,,,,,,,,1,1
,,AstraZeneca,,,,,,,,,,1,1
,,,AstraZeneca,,,,AZ,AstraZeneca / \bAZ\b,,,,1,1
,,,Saphnelo,,,,,Saphnelo,,,,1,1
,,,,Saphnelo,,,,Saphnelo,SLE Score,,,1,1
,,,,Anifrolumab,,,,Anifrolumab,SLE Score,,,1,1
,,,,Inhibitor of IFN-I activity,,,Inhibitor of the type I interferon / inhibition of the type I interferon / Type I IFN inhibitor / IFN1 inhibitor /  Type I interferon inhibitor,Inhibitor of IFN-I activity / Inhibitor of the type I interferon / inhibition of the type I interferon / Type I IFN inhibitor / IFN1 inhibitor /  Type I interferon inhibitor,SLE Score,,,1,1
,,,,Type I IFN,,,Type I Interferon / IFN-1 / IFN1 / Interferon type I,\bType I IFN\b / Type I Interferon / \bIFN-1\b / \bIFN1\b / Interferon type I,,,,1,1
,,GSK,,,,,,,,,,1,1
,,,GSK,,,,GlaxoSmithKline,\bGSK\b / GlaxoSmithKline,,,,1,1
,,,Benlysta,,,,,Benlysta,,,,1,1
,,,,Benlysta,,,,Benlysta,,,,1,1
,,,,Belimumab,,,,Belimumab,,,,1,1
,,,,B-Cell,,,B-Lymphocytes,B-Cell / B-Lymphocytes,,,,1,1
,,,,BLyS,,,BAFF / B-cell Activating Factor / B Lymphocyte Stimulator / BLyS-specific inhibitor,\bBLyS\b / \bBAFF\b / B-cell Activating Factor / B Lymphocyte Stimulator / \bBLyS-specific inhibitor\b,,,,1,1
,,Roche,,,,,,,,,,1,1
,,,Roche,,,,,Roche,,,,1,1
,,,Rituxan,,,,,Rituxan,,,,1,1
,,,,Rituxan,,,,Rituxan,,,,1,1
,,,,Rituximab,,,,Rituximab,,,,1,1
,,,,CD20,,,,\bCD20\b,,,,1,1
,,Grünenthal,,,,,,,,,,1,1
,,,Grünenthal,,,,,\bGrünenthal\b,,,,1,1
,,,Thalomid,,,,,Thalomid,,,,1,1
,,,,Thalomid,,,,Thalomid,,,,1,1
,,,,Thalidomide,,,,Thalidomide,,,,1,1
,,Eli Lilly,,,,,Eli Lilly and Company,Eli Lilly and Company,,,,1,1
,,,Eli Lilly,,,,,Eli Lilly,,,,1,1
,,,Olumiant,,,,,Olumiant,,,,1,1
,,,,Olumiant,,,,Olumiant,,,,1,1
,,,,Baricitinib,,,,Baricitinib,,,,1,1
,,Sanofi,,,,,,,,,,1,1
,,,Sanofi,,,,,Sanofi,,,,1,1
,,,Plaquenil,,,,,Plaquenil,,,,1,1
,,,,Plaquenil,,,,Plaquenil,,,,1,1
,,,,Hydroxychloroquine,,,,Hydroxychloroquine,,,,1,1
,,,,chloroquine,,,,chloroquine,,,,1,1
,,Amgen,,,,,,,,,,1,1
