author,score,affiliation
Zahir Amoura,100.0,"Service de Médecine Interne 2, Institut e3m, Hôpital de la Pitié-Salpêtrière, Centre National de Référence Maladies Systémiques Rares, Lupus, Syndrome des anticorps antiphospholipides, Sorbonne Université, Assistance Publique Hôpitaux de Paris, Paris, France."
Laurent Arnaud,82.0252050046659,"Department of Rheumatology, Hôpitaux Universitaires de Strasbourg, INSERM UMR-S 1109, Centre National de Référence des Maladies Auto-Immunes Systémiques Rares (RESO), Strasbourg, France."
Nathalie Costedoat-Chalumeau,78.57867234816635,"Université Paris Descartes-Sorbonne Paris Cité, France; AP-HP, Centre de référence maladies auto-immunes et systémiques rares de l'île de France, Service de médecine interne Pôle médecine, Hôpital Cochin, 27 rue du Faubourg Saint Jacques, 75679 Paris cedex 14, France; INSERM U 1153, Center for Epidemiology and Statistics Sorbonne Paris Cité (CRESS), Paris, France. Electronic address: nathalie.costedoat@aphp.fr."
Patrick Blanco,62.13002682029547,"CNRS-UMR 5164, ImmunoConcEpT, Bordeaux University, Bordeaux, France.
Immunology and Immunogenetic Department, Bordeaux University Hospital, Bordeaux, France."
Sylviane Muller,60.16277034524321,"CNRS and Strasbourg University, Unit Biotechnology and Cell signaling, UMR7242/Strasbourg Drug Discovery and Development Institute (IMS), Strasbourg, France.
Fédération Hospitalo-Universitaire (FHU) OMICARE, Fédération de Médecine Translationnelle de Strasbourg (FMTS), Strasbourg University, Strasbourg, France.
University of Strasbourg Institute for Advanced Study, Strasbourg, France."
Christophe Richez,54.8008122198633,"Department of Rheumatology, Pellegrin, Bordeaux University Hospital, 33076 Bordeaux, France. patrick.blanco@chu-bordeaux.fr christophe.richez@chu-bordeaux.fr.
Centre national de référence maladie auto-immune et systémique rares Est/Sud-Ouest (RESO), Bordeaux University Hospital, 33076 Bordeaux, France.
UMR-CNRS 5164, ImmunoConcept, University of Bordeaux, 33076 Bordeaux, France."
Alexis Mathian,53.41672210858057,"AP-HP, Groupement Hospitalier Pitié-Salpêtrière, E3M Institute, Internal Medicine Department 2, National Reference Centre for Systemic Lupus Erythematosus, F-75013, Paris, France; Inserm, U1135, CIMI, F-75013, Paris, France; Sorbonne Universités, UPMC Univ Paris 06, F-75013, Paris, France."
Thierry Martin,53.24949012793739,"Clinical Immunology Deparment, Strasbourg University Hospital, National Reference Center for Systemic Autoimune Diseases (ESO), France."
Alexandre Belot,41.755703813449436,"Centre International de Recherche en Infectiologie, Univ Lyon, Inserm, U1111, Université Claude Bernard, Lyon 1, Centre National de la Recherche Scientifique, UMR5308, ENS de Lyon, Lyon, France.
National Reference Centre for Rheumatic and AutoImmune and Systemic Diseases in Children (RAISE), Lyon, France.
Pediatric Nephrology, Rheumatology, Dermatology Unit, Hôpital Femme Mère Enfant, Hospices Civils de Lyon, Lyon, France."
Estibaliz Lazaro,41.4628394570504,"Centre national de référence maladie auto-immune et systémique rares Est/Sud-Ouest (RESO), Bordeaux University Hospital, 33076 Bordeaux, France.
Department of Internal Medicine, Haut-Leveque, Bordeaux University Hospital, 33604, Pessac, France."
