Unnamed: 0,0,lastnames,score,Role,Town,Town ZIP,countries_scope,HCO,lastnames duplicate,score duplicate,Role  duplicate,Town duplicate,Town ZIP duplicate,lastnames duplicate2,score duplicate2,Role  duplicate2,Town duplicate2,Town ZIP duplicate2,lastnames duplicate3,score duplicate3,Role  duplicate3,Town duplicate3,Town ZIP duplicate3
2,Nathalie,Costedoat-Chalumeau,78.57867234816635,Internal Medicine; Immunology,Paris,75014,FR,AP-HP.Centre - Université de Paris - Hôpital Cochin,57.0,N,Costedoat-Chalumeau,17.75945581295325,duplicate,,,,,,,,,,
8,Alexandre,Belot,41.75570381344944,Rheumatology ,Bron,69677,FR,CHU de Lyon HCL - GH Est-Hôpital Femme Mère Enfant,509.0,A,Belot,5.262894348358956,duplicate,,,,,,,,,,
16,Yanick J,Crow,36.30297441478801,Immunology,Paris,75015,FR,IMAGINE - Institut des Maladies Génétiques,1701.0,Y,J Crow,3.155101087549036,duplicate,,,,,,,,,,
24,Stéphane,Zuily,30.79314978211641,Vascular Medicine,Nancy,54500,FR,CHU de Nancy - Hôpitaux de Brabois,110.0,Stephane,Zuily,12.48085745163165,duplicate,481.0,S,Zuily,5.476463966146369,duplicate,,,,,
25,Brigitte,Bader-Meunier,29.6727502296183,Rheumatology ,Paris,75743,FR,Hôpital Necker-Enfants Malades,148.0,B,Bader-Meunier,10.4924798603018,duplicate,,,,,,,,,,
30,Vanja,Sisirak,26.94522146922224,Immunology,Bordeaux ,33300,FR,Centre Hospitalier​ Universitaire de Bordeaux,,,,,,,,,,,,,,,
34,Christophe,Pellefigues,23.81858332959829,Nephrology; Immunology,Paris,75018,FR,Center Recherche Sur L'inflammation - Cnrs - Inserm Université De Paris,,,,,,,,,,,,,,,
37,Cécile,Contin-Bordes,22.48363626458775,Rheumatology; Immunology,Bordeaux ,33300,FR,CHU de Bordeaux,1333.0,C,Contin-Bordes,3.465137403454806,duplicate,,,,,,,,,,
40,Patrick,Legembre,21.7180021180583,Oncology; Immunology,Limoges,87000,FR,Université de Limoges,,,,,,,,,,,,,,,
41,Marc,Scherlinger,21.67369148498797,Rheumatology; Immunology,Strasbourg,67000,FR,Arlin Alsace Hospitals Academics De Strasbourg,,,,,,,,,,,,,,,
43,Pauline,Soulas-Sprauel,21.2794041710771,Immunology,Strasbourg,67081,FR,CHU de Strasbourg,,,,,,,,,,,,,,,
46,Marc,Pineton de Chambrun,20.52023978587178,Immunology,Paris,75013,FR,University Hospitals Pitié Salpêtrière - Charles Foix,,,,,,,,,,,,,,,
48,Fanny,Monneaux,20.00703430976467,Immunology,Strasbourg,67000,FR,IMBC - Molecular and Cellular Biology Institute,128.0,F,Monneaux,11.38718078723337,duplicate,,,,,,,,,,
50,Noémie,Jourde-Chiche,19.83166053391804,Nephrology,Marseille,13007,FR,Aix-Marseille Université,5196.0,Noemie,Jourde-Chiche,0.7513778298002654,,240.0,N,Jourde-Chiche,7.805990370015135,,3794.0,Noémie,Jourde-Chiche For The Gclr,2.023019780403387,
51,Vincent,Poindron,19.81975649582193,Internal Medicine,Strasbourg,67091,FR,CHU de Strasbourg - Nouvel Hôpital Civil,,,,,,,,,,,,,,,
53,Fleur,Cohen-Aubart,19.24730936429461,Internal Medicine,Paris,75013,FR,AP-HP.Sorbonne Université - Hôpital de la Pitié-Salpêtrière,64.0,Fleur,Cohen Aubart,16.85405348470219,,,,,,,,,,,
58,Corinne,Miceli-Richard,17.65096953710216,Rheumatology ,Paris,75014,FR,AP-HP.Centre - Université de Paris - Hôpital Cochin,,,,,,,,,,,,,,,
60,Pierre,Quartier,17.38626242730646,Rheumatology; Immunology,Paris,75015,FR,Hôpital Necker-Enfants Malades,,Pierre,Quartier dit Maire,,,,,,,,,,,,
61,Vincent,Gies,17.2553673604541,Immunology,Strasbourg,67000,FR,Arlin Alsace Hospitals Academics De Strasbourg,,,,,,,,,,,,,,,
63,Hélène,Dumortier,17.07980645014433,Rheumatology; Immunology,Strasbourg,67000,FR,Arlin Alsace Hospitals Academics De Strasbourg,2148.0,H,Dumortier,2.841690390611352,,,,,,,,,,,
108,Pascal,Sève,12.68461912015053,Internal Medicine,Lyon,69002,FR,Hospices Civils de Lyon - HCL,66.0,P,Sève,16.74717988301549,,,,,,,,,,,
67,Nicole M ,Thielens,16.65469412550755,Immunology,Grenoble,38000,FR,University Grenoble Alpes - Institut de Biologie Structurale,,,,,,,,,,,,,,,
70,Lubka T,Roumenina,16.35492487211908,Immunology,Paris,75006,FR,Centre de Recherche des Cordeliers,3077.0,L,Roumenina,2.389673761463552,,3493.0,Lubka,Roumenina,2.205407804549264,,,,,,
71,Barbara,Dema,16.32726920626821,Immunology,Oxford,OX3 7DQ,FR; GB,"Oxford University, Pandemic Science Institute",,,,,,,,,,,,,,,
