person_uuid,identifier_value,firstname,lastname,publication_list,first_letter,resolved_for,marked
5,GB0010249,Andrew,Baird,[32817696],,GB0010249,True
16327,,A Nickie,Baird,"[17793085, 26976466, 23912839, 9417114, 8442425, 1462843, 9626183, 10891915, 11207384, 10404569, 11244251, 23720710, 6435620, 15180628, 11445104, 3994712, 9458856, 18699499, 3970698, 9504466, 15505163, 3020557, 8050868, 2992358, 18331972, 6728143, 7830042, 7617194, 8440639, 9108444, 6118418, 8682698, 3927303, 9244154, 1777236, 17276517, 17747785, 11509622, 8888194, 8175664, 18604228, 3104999, 9203943, 10428769, 9290190, 1462848, 3863109, 6148773, 1495934, 10544031, 4015075, 10314785, 9659510, 9192689, 15463738, 9672012, 1713534, 3073416, 12920289, 23353071, 2115360, 12699467, 11487080, 1525658, 8267718, 1648607, 11245602, 8214586, 9521247, 9103476, 30493004, 19405165, 32704893, 719291, 9853523, 23698011, 11319907, 1325742, 2480829, 8039113, 11258724, 8563590, 18836499, 28097670, 1821839, 8428839, 17550682, 9858510, 7601689, 2174511, 9473690, 9731752, 11022068, 1658631, 6799116, 9596771, 6872950, 1785797, 17797084, 16882372, 6410461, 10322150, 1671798, 7730030, 1500334, 3921073, 1586544, 7972324, 9266725, 17073810, 1857215, 18495257, 3479434, 3348397, 7407541, 8157119, 11249801, 1403086, 3664081, 1984855, 3520902, 18229757, 8227424, 2452078, 11328260, 19327821, 412513, 1764263, 22445013, 2497499, 26790911, 3083281, 11721758, 25300000, 6548571, 3226725, 7556402, 7769484, 9244072, 1314273, 22105622, 3083816, 6430292, 1900153, 9232038, 8019673, 11034372, 17797085, 1785825, 2859017, 3346442, 19509340, 10870994, 10506521, 25063776, 201254, 4084288, 17359474, 6591194, 9016325, 10363982, 28370050, 4039829, 8090787, 11769003, 9528556, 8341107, 8590987, 3741423, 27481970, 8013761, 6817757, 8689642, 20109521, 8784124, 11393290, 16304446, 19622234, 11078065, 9173879, 7547814, 22522837, 12487748, 11275415, 9620658, 1928400, 11046138, 7777612, 23391586, 9850317, 2592418, 8347350, 19926813, 3526451, 9846610, 3190672, 1785818, 35860446, 1785823, 9158636, 3825665, 9724101, 6332624, 3928335, 10830116, 15511907, 1999231, 10535347, 3940857, 11223664, 8807026, 8266387, 10973935, 12968944, 6493474, 3958062, 2635054, 3556754, 10356119, 3597732, 14738909, 4065099, 1521575, 522162, 2848690, 7493619, 9836763, 18098402, 1911037, 10094933, 17779135, 4029020, 8342204, 3132309, 11070374, 23825340, 3427274, 8969234, 1821838, 7584953, 10534263, 23838086, 10792449, 10767973, 18947762, 10571478, 6295379, 2162560, 7274457, 25534438, 11145222, 8757299, 12050524, 6594674, 20177131, 9662775, 3809608, 1663405, 33882562, 1655276, 3461784, 3826381, 8655598, 1115089, 6288348, 3986431, 6546448, 10409281, 7693641, 29337035, 4081126, 2459134, 3139148, 1664696, 4065037, 9381667, 2860847, 2893727, 1951669, 9791468, 1689733, 2541718, 7895230, 7698700, 24500613, 1935770, 7530919, 7612876, 1309225, 653879, 16009882, 1698553, 1698558, 1645359, 1702706, 6990726, 10218471, 35179503, 21244914, 2259979, 2403357, 11549742, 8592522, 9829538, 11713901, 7650676, 16706974, 11525557, 18947564, 6602249, 8150700, 208729, 1974160, 1785828, 1323004, 589920, 8925285, 9777284, 6332625, 9118093, 8929854, 8233560, 10896064, 11162433, 11498521, 24835129, 3458259, 11543955, 33035691, 8361430, 10081766, 11580982, 11470588, 16140093, 6096716, 2537305, 11724751, 9951219, 7895064, 1378359, 2844752, 2365624, 17435017, 2832850, 2329088, 14736074, 25271192, 19889058, 1924295, 3939730, 6442442, 3132919, 2178609, 10710600, 7528026, 26812040, 11407056, 11132675, 6254534, 1933286, 11182166, 1323129, 10096776, 5451938, 8896690, 9486560, 3912009, 2429303, 15511936, 2396799, 11141884, 3036466, 3196337, 21403102, 11728432, 9500238, 6207113, 3929866, 17836038, 7530575, 2365626, 15079817, 22665664, 10680802, 19524122, 36149868, 10209961, 195278, 11778775, 9472743, 2661162, 7908180, 32734150, 9153519, 4004851, 11508725, 7539766, 18754801, 10890507, 2133290, 7896883, 17743708, 1494917, 1785813, 11448295, 2510849, 23695513, 1376558, 9880105, 5575214, 8561214, 2708109, 12047242, 2913274, 2434094, 10097887, 3818795, 1447311, 3737032, 1656299, 2045476, 14972585, 8156932, 2541433, 2165003, 7510359, 8853990, 18434581, 6408735, 12192338, 8841886, 16161516, 8755990, 6802296, 3992468, 1764264, 11025448, 16145454, 8100950, 23624831, 3083419, 26500305, 3071197, 4574500, 22281596, 18947531, 2276966, 8150701, 1605307, 1429196, 35495736, 2293565, 7544700, 3239841, 8568821, 11161591, 3027025, 6340794, 10629353, 8397111, 10547571, 2470294, 2875926, 2753063, 8348377, 16175841, 9331491, 8676153, 2863951, 2061163, 11780981, 7525264, 8496105, 24868064, 22885633, 6952250, 24188339, 12842478, 7521961, 1664697, 29640431, 8173328, 2443140, 22906760, 25421733, 9848751, 6306129, 9845219, 8567386, 4029025, 9464456, 7674586, 1662973, 3996594, 10415028, 6327231, 15301604, 2268344, 15191511, 11312606, 9895392, 3079700, 2412079, 1429134, 9879257, 6221619, 24256344, 3817386, 1785817, 8425469]",A,GB0010249,True
16374,,Andrew David,Baird,"[24510852, 22778457, 26460850, 20009662, 21807851, 21214926, 20539179, 19507166, 28850410, 23992837, 21330948, 31190084, 32599156, 11861367, 21159635, 25513848, 17707038, 24527316, 27800060, 20705905, 35287793, 21935431, 29194317, 18278566, 32303780, 22395830, 30735329, 21453855, 19131801, 32509480, 26975788, 25194088, 18771846, 19628075, 25788875, 25580077, 26874655, 29164757, 20128996, 20858122, 21792245, 19416580, 27051591, 19344293, 36092940, 32582760, 21360048, 25681457, 29294153, 32853724, 21082389, 18592073, 16028003, 20374005, 22327977, 31327638, 17499776, 30541599, 22960048, 19458807, 15821571, 30715917, 25473097, 21082382, 18420915, 14665365, 31057947, 22407271, 28870864, 30697875, 16718733, 15211753, 25378632, 22683732, 35754627, 19781761, 34810000, 16148678, 20453760, 33893043, 22694873, 18791495, 18631913, 26946957, 27074334, 19423227, 21783215, 29848382, 11883506, 25511108, 21329515, 21874468, 33425392, 19577248, 21301670, 27990492, 25168552, 30935758, 15294095, 23036114, 19595677, 32195341, 21349154, 23626679, 33564612, 20732308, 22899245, 24980040, 27548244, 29924673, 22396620, 25575256, 21247490, 20936524, 20707896, 25860877, 17034617, 30236097, 30576304, 21749466, 35450781, 21610431, 19124336, 16339795, 27477606, 30308236, 22526622, 25033458, 30944217, 28855278, 27663454, 18992758]",A,GB0010249,True
7,GB0010257,Helen,Akhtar,[],,GB0010257,True
17569,,Hafiz Muhammad Saleem,Akhtar,"[29578019, 33505200, 32212170, 34026080, 29944941]",H,GB0010257,True
12,GB0010299,Beverley,Rogers,[25060513],,GB0010299,True
22766,,Baxter P,Rogers,"[25616470, 23658643, 26157396, 17441252, 11954057, 21236648, 25988229, 23613020, 21925611, 19002252, 23418140, 31602086, 24901036, 17651935, 32219397, 15770187, 12518291, 19179050, 31525497, 29887658, 35917721, 26768154, 12465120, 33903915, 29113642, 22085135, 19570639, 14755671, 33459155, 29282320, 27448367, 24753211, 26924285, 23248580, 24117668, 26411798, 30630706, 25945042, 32089583, 27429056, 21458238, 35180665, 35680432, 15193615, 33610102, 26360535, 25713528, 29653904, 33562625, 35299614, 34456460, 31376477, 22710202, 30468766, 28584881, 19410589, 34189372, 22958533, 31200384, 20444566, 28448683, 31185485, 31399394, 20423509, 33221421, 19607798, 31814011, 32911995, 29725960, 24655307, 34404915, 21077136, 32251905, 33875028, 17499467, 29648581, 33064765, 34351007, 21801166, 12413596, 32714139, 34655804, 34666161, 32307263, 32735601, 20374203, 35922700, 28222526, 34088895, 34506914, 21982165, 21671045, 33533094, 29887661, 31477819, 24236354, 12006280, 28513186, 25769901, 35149867, 31128227, 28736467, 22953146, 16498109, 35774185, 27296233, 23110880, 30952126, 29887662, 12169466, 32133784, 36303581, 22147810, 28505337, 22584766, 23864720, 31075422, 30739807, 29226284, 20027229, 16997706]",B,GB0010299,True
22778,,Benjamin A,Rogers,"[32826576, 32163648, 22571303, 30517987, 23825384, 25301206, 30208454, 35593218, 32398341, 29474648, 34660611, 36284645, 21081548, 33050947, 29660203, 25646567, 19119075, 31670453, 34800996, 25758700, 36064596, 32493459, 32739475, 31085297, 20477746, 32890752, 20973726, 22664092, 33826230, 24725038, 21705003, 23532481, 34045366, 34636124, 21653302, 33474821, 21254119, 33256752, 24468775, 32415721, 25758692, 30520412, 32044943, 23330550, 29253152, 25707371, 32122112, 33957274, 19705988, 32354659, 25179327, 33151406, 27990586, 25911644, 31941546, 24136884, 25833335, 32272249, 32829737, 23466909, 23041363, 32945570, 25623485, 24706808]",B,GB0010299,True
22866,,B H Gerald,Rogers,"[9108444, 2031652, 25837665, 27287739, 11321575, 9748923, 26255916, 1000001, 7955069, 4596414, 3506909, 34464572, 7087017, 9634824, 9618458, 8012853, 4048085, 22504747, 17130849, 13215106, 706164, 2950893, 8021755, 3925841, 10602527, 8169677, 3647782, 9275798, 8423851, 10308028, 8039125, 8366858, 26741676, 11136051, 3845424, 7695808, 16551419, 5467932, 10071838, 7475000, 13422611, 2158640, 25448640, 14233897, 10850861, 9089704, 1848023, 5624799, 6403086, 6878300, 2069618, 6567068, 5412147, 9057873, 7870099, 3307337, 8853465, 16283825, 8255699, 1374428, 29031187, 16800583, 10074975, 3922846, 7797791, 24173725, 8420546, 7101762, 11615558, 27712904, 720375, 32063172, 8986431, 3260605, 11690418, 26845788, 11313803, 664293, 11101019, 1442668, 21521265, 8029076, 5473651, 11134471, 22013538, 32949887, 7612084, 10561276, 10242018, 13871143, 2197578, 9709680, 34490712, 2050583, 13470306, 1698585, 10865551, 3345452, 7056443, 9202822, 2813092, 15420627, 347410, 347485, 1690999, 21728674, 11726351, 11071079, 790221, 7688121, 9384000, 3526833, 11710680, 8351970, 34525532, 3633741, 10097377, 6386470, 6583158, 1512373, 7492566, 13571146, 2716833, 1324249, 3700082, 11277746, 2242167, 7870100, 7493333, 9074651, 3774541, 9255155, 719093, 2775386, 2087285, 6265208, 8788409, 1448397, 2947588, 2947589, 8977011, 11287177, 4414223, 10664803, 10632041, 8338611, 9043235, 7167333, 8060400, 8552340, 3055869, 13099374, 34898292, 9724334, 7668176, 4923950, 31392582, 574462, 1950811, 7545994, 3884190, 8692901, 6735102, 8037821, 6465218, 2311888, 2156429, 7129049, 6768639, 11520161, 1460552, 13592904, 15231319, 32410049, 9472563, 16657019, 4606863, 20843429, 14396378, 11349053, 8523125, 4550067, 2657722, 1888085, 14438347, 14438349, 10022951, 20615303, 1085713, 3166638, 3658258, 3699271, 3625805, 7066461, 8131428, 7844878, 2069602, 1463552, 23959039, 2946610, 35444321, 13047452, 7772213, 10541342, 8386999, 7223766, 18643424, 3725804, 13982381, 18758434, 2358079, 8903582, 6896693, 24173752, 3226867, 9796978, 8699541, 3260067, 12574625, 8437795, 2023853, 7594515, 8979311, 16655350, 18990265, 3663284, 2885066, 7734736, 6776282, 8644123, 2688665, 9815798, 10037188, 7112821, 3917949, 9406692, 2222586, 10505179, 10505180, 10661049, 371903, 14150863, 1166630, 4754736, 7703872, 2403669, 10153362, 8924619, 16821750, 6606356, 3108425, 10186855, 4452460, 10793285, 9327057, 3117607, 8147983, 17159186, 6911038, 4347147, 1717566, 1570238, 6133235, 2053670, 3888680, 9524909, 1955518, 3217316, 3979234, 7772207, 11606113, 8157416, 2586905, 8436021, 10697085, 2562548, 2980353, 11426316, 10615456, 14523436, 3841075, 6921559, 8232338, 4767264, 3997662, 9781644, 16654790, 786898, 16802277, 15335929, 3760656, 10896007, 34972492, 22774656, 3523535, 9544673, 3851245, 2491418, 2909220, 9250030, 9299192, 10888627, 7046603, 10962611, 3156014, 8013949, 5335191, 10176883, 14076424, 9751124, 8194891, 1756087, 16427961, 22391758, 9006076, 11545613, 12061861, 17280294, 2788654, 10833234, 28413334, 10391019, 3698295, 11243289, 20852560, 2264994, 4927769, 823582, 3994035, 2666992, 11760272, 2659010, 6566598, 9155270, 21705563, 17748862, 11760638, 1709193, 8951058, 7468461, 15635915, 15635916, 13489719, 538168, 2668103, 6854504, 685948, 29833460, 9738543, 6969679, 4881011, 10672782, 10615455, 16800538, 3668963, 13245437, 24493280, 8273286, 11181685, 1384309, 8855439, 4456397, 3194854, 15417329, 786505, 2236643, 11321571, 7094521, 1286438, 8896922, 16654753, 3203748, 12116701, 1434624, 1180781, 6898992, 7767429, 13411915, 3843881, 2271071, 8390648, 23185970, 11577988, 10505175, 25201626, 11135990, 3902513, 8023323, 9366905, 25628274, 24145673, 13422608, 10186781, 8417325, 8991062, 4682163, 1536683, 3838741, 4043689, 6878344, 1930382, 11105586, 15447408, 2332063, 7173582, 18978282, 2717501, 964588, 3315830, 10418349, 11401455, 9025846, 1112474, 13507160, 9640656, 7904374, 3382476, 9043217, 8895925, 9166327, 8642498, 20766703, 2801668, 1310807, 9093312, 1458462, 7315861, 9830869, 8258204, 32875284, 30286630, 11232109, 4211779, 19129414, 35226833, 402664, 15533332, 9708939, 9274764, 10667421, 1541582, 13370844, 6628865, 4007445, 4818687, 9652241, 6826013, 7686257, 3082354, 8710438, 9161005, 2001270, 1567513, 20081589, 20081605, 10685629, 5287163, 839182, 2297374, 2576268, 14438348, 8450020, 7909411, 32862265, 9375996, 3994000, 8237552, 3535821, 824327, 3068970, 2069601, 2946282, 17814804, 12522855, 16553423, 21198472, 27482017, 7788572, 4061394, 3348850, 2947585, 10230356, 2546291, 11295424, 28818324, 2587795, 1809687, 7945583, 8060398, 9215773, 11288567, 6758545, 14827728, 5644613, 6996519, 24273765, 14525367, 5276837, 22070628, 2729391, 5146188, 11994784, 20481942, 6907800, 6907804, 22628589, 3311973, 13601154, 8284696, 2779867, 4885279, 1919894, 10193950, 9342002, 32361793, 8449378, 16567783, 30101031, 18796190, 13635279, 8711905, 3632920, 1437477, 7450425, 10809205, 2789532, 7532710, 1986751, 4493552, 438758, 569889, 471676, 11760253, 7525140, 7025629, 12571639, 19584061, 15037502, 30602304, 18765030, 3790112, 32970201, 3306987, 10614344, 1562309, 2127603, 25761804, 14022734, 4815026, 35100849, 2291925, 7575790, 12318968, 1702434, 27810466, 13581151, 3922802, 7617413, 10959752, 7699513, 34192494, 8379515, 1203412, 1309966, 8855000, 2784798, 4611677, 3932098, 7159850, 1081461, 3588223, 9396454, 7971420, 3334790, 7619252, 16237245, 3277650, 8487777, 9397201, 8422789, 8037816, 1771129, 7030435, 14198556, 9766734, 11954099, 23717849, 8390649, 20867177, 2607409, 8259935, 10029458, 21309997, 3558107, 1649552, 9481214, 1150028, 3632291, 7916719, 3812600, 3640629, 9596280, 3362202, 8507287, 13422609, 13185, 13562806, 10441714, 8148125, 33715420, 9368809, 2159947, 3724851, 21640837, 3847846, 1546270, 3348847, 36239962, 7215745, 32168610, 28425105, 3636141, 2776009, 14982135, 6568961, 7773231, 941419, 974200, 5037709, 2612919, 1589043, 8372073, 245663, 10739906, 8356062, 2957697, 90530, 8217152, 4760148, 2777719, 2122426, 10724075, 8602599, 386117, 14320778, 10257735, 6612351, 9086510, 7521933, 1992337, 3647130, 8447855, 13576104, 9185219, 6277068, 1894529, 7661805, 16296191, 2509252, 788996, 789000, 8522312, 10168958, 9481218, 15789063, 10890252, 4754735, 24145599, 8335146, 2600765, 1994646, 1470506, 9384006, 8597866, 6107659, 1389226, 6853356, 1946388, 1651520, 2528475, 17224933, 8017228, 13506036, 6346828, 20650255, 6822303, 8977012, 7904060, 6929269, 7617423, 11107231, 10910937, 10091748, 33144149, 11124057, 35446153, 7306644, 384429, 5299823, 1572548, 23109382]",B,GB0010299,True
22963,,Beverly Barton,Rogers,"[11978893, 11979375, 31822165, 34192286, 12090415, 15547775, 11796594, 12574911, 24036400, 16831030, 29790786, 21354052, 15316965, 33626827, 34176361, 25870902, 23815676, 20121426, 18556770, 12552075, 12118083, 26701384, 17251395, 22022984, 33623814, 28856222, 35576234, 21830656, 15547769, 15122522, 15205266, 34712784, 25742911, 35860971, 33576528, 24926088, 34272449, 34266330, 21159942, 25152311, 31453731, 24719989, 22639406, 12376921, 15547780, 23592461, 22495894, 12717589, 30570415, 35535930, 24804826, 24299929, 23973570, 27234271, 30138724, 34424838, 12709330, 33969165, 20690454, 29931106, 18808215]",B,GB0010299,True
